 Subject: Culture and Recreation 
 Topic : Culture and Recreation 
" Title  : M891141 - Sports And Performing Arts Courses Conducted By Community Clubs, Residents' Committees/Residents' Networks/Neighbourhood Committees And Passion Wave, Annual "
, , , , , , , , , ,Number
"NUMBER OF VISUAL ARTS EXHIBITIONS - REFERS TO PUBLIC EXHIBITIONS OF ABSTRACT OR REPRESENTATIONAL ART OBJECTS SUCH AS PAINTING, SCULPTURE, POTTERY, CERAMICS, CREATIVE PHOTOGRAPHY, INSTALLATION ART AND MULTI-MEDIA ART.  APPLIED ARTS SUCH AS FILM, GRAPHIC DESIGN, JEWELLERY DESIGN AND HANDICRAFTS ARE EXCLUDED.  DATA ARE BASED ON PUBLISHED AND ONLINE SOURCES SUCH AS NEWSPAPERS, WEBSITES AND PUBLICATIONS, AS WELL AS DATA FROM SINGAPORE ART GALLERY GUIDE, ART GALLERY ASSOCIATION, COMMUNITY ART GALLERIES, GILLMAN BARRACKS AND NATIONAL HERITAGE BOARD MUSUEMS."
"DAYS FOR VISUAL ARTS EXHIBITIONS - REFERS TO PUBLIC EXHIBITIONS OF ABSTRACT OR REPRESENTATIONAL ART OBJECTS SUCH AS PAINTING, SCULPTURE, POTTERY, CERAMICS, CREATIVE PHOTOGRAPHY, INSTALLATION ART AND MULTI-MEDIA ART.  APPLIED ARTS SUCH AS FILM, GRAPHIC DESIGN, JEWELLERY DESIGN AND HANDICRAFTS ARE EXCLUDED.  DATA ARE BASED ON PUBLISHED AND ONLINE SOURCES SUCH AS NEWSPAPERS, WEBSITES AND PUBLICATIONS, AS WELL AS DATA FROM SINGAPORE ART GALLERY GUIDE, ART GALLERY ASSOCIATION, COMMUNITY ART GALLERIES, GILLMAN BARRACKS AND NATIONAL HERITAGE BOARD MUSUEMS.  REFERS TO THE TOTAL NUMBER OF DAYS OVER WHICH ALL EXHIBITIONS ARE HELD."
TICKETED ATTENDANCE AT PERFORMING ARTS EVENTS - REFERS TO ATTENDANCE AT PERFORMING ARTS EVENTS THAT REQUIRE A TICKET FOR ENTRY.  IT INCLUDES TICKETS SOLD AND COMPLIMENTARY TICKETS ISSUED.
"NON-TICKETED ATTENDANCE AT ARTS & HERITAGE EVENTS - REFERS TO ATTENDANCE AT PERFORMING ARTS EVENTS ORGANISED AND SUPPORTED BY THE NAC, ESPLANADE AND PA.  REFERS TO ATTENDANCE AT OUTREACH EVENTS ORGANISED BY THE NHB.  THESE EVENTS INCLUDE COMMUNITY OUTREACH ACTIVITIES ORGANISED BY NHB INSTITUTIONS AND MUSEUMS, INCLUDING THE SINGAPORE NIGHT FESTIVAL AND THE SINGAPORE HERITAGE FESTIVAL.  DATA EXCLUDE INCIDENTAL VIEWERSHIP AND EVENTS WHERE ATTENDANCE FIGURES ARE UNABLE TO BE DETERMINED.  NON-TICKETED HERITAGE EVENTS MAY ALSO INCLUDE SOME PERFORMING ARTS ELEMENTS."
SOURCE: PEOPLE'S ASSOCIATION




Data last updated: 29/10/2020

Generated by: SingStat Table Builder 
Date generated: 30/10/2020
Contact: info@singstat.gov.sg 
