 Subject: National Accounts 
 Topic : Gross Domestic Product 
" Title  : M015231 - Gross Domestic Product In Chained (2015) Dollars, By Industry (SSIC 2015 Version 2018), Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Million Dollars
 Variables , 1960 , 1961 , 1962 , 1963 , 1964 , 1965 , 1966 , 1967 , 1968 , 1969 , 1970 , 1971 , 1972 , 1973 , 1974 , 1975 , 1976 , 1977 , 1978 , 1979 , 1980 , 1981 , 1982 , 1983 , 1984 , 1985 , 1986 , 1987 , 1988 , 1989 , 1990 , 1991 , 1992 , 1993 , 1994 , 1995 , 1996 , 1997 , 1998 , 1999 , 2000 , 2001 , 2002 , 2003 , 2004 , 2005 , 2006 , 2007 , 2008 , 2009 , 2010 , 2011 , 2012 , 2013 , 2014 , 2015 , 2016 , 2017 , 2018 , 2019 ,
         Accommodation & Food Services , 334.9 , 354.7 , 372.2 , 386.4 , 391.4 , 408.5 , 436.9 , 488.2 , 558 , 630.8 , 727.9 , 865.8 ," 1,023.3 "," 1,141.9 "," 1,175.6 "," 1,215.4 "," 1,316.5 "," 1,439.1 "," 1,567.4 "," 1,690.8 "," 1,898.1 "," 2,072.2 "," 2,190.6 "," 2,246.1 "," 2,290.4 "," 2,285.3 "," 2,416.6 "," 2,656.8 "," 3,089.4 "," 3,485.1 "," 3,583.1 "," 3,599 "," 3,939.6 "," 4,177.5 "," 4,369.3 "," 4,590.8 "," 4,880 "," 5,202.9 "," 4,831.2 "," 5,080.1 "," 5,507.1 "," 5,426.7 "," 5,167.8 "," 4,688.7 "," 5,159.2 "," 5,608.7 "," 5,947.8 "," 6,240.5 "," 6,358.5 "," 6,103.1 "," 7,010.3 "," 7,874 "," 8,214 "," 8,566.6 "," 8,796.1 "," 8,763 "," 9,112.4 "," 9,246 "," 9,528.2 "," 9,708.4 ",
         Information & Communications , 31.8 , 32.3 , 34.2 , 35.6 , 36.3 , 37.3 , 40.7 , 46.5 , 54.9 , 59.2 , 65.7 , 72.9 , 87.9 , 105.1 , 119.5 , 153.1 , 168.5 , 207.6 , 252.7 , 297.3 , 358.1 , 439.1 , 537.5 , 634.4 , 700.2 , 749.1 , 823.3 , 930.9 ," 1,105.4 "," 1,226.4 "," 1,398.3 "," 1,585.6 "," 1,841.7 "," 2,140.9 "," 2,438.9 "," 2,841.6 "," 3,188.5 "," 3,854 "," 4,363.2 "," 5,055.2 "," 5,877.2 "," 6,774.2 "," 7,141.1 "," 7,681.7 "," 8,340 "," 8,815 "," 9,201.1 "," 9,787.4 "," 10,419.8 "," 11,082.1 "," 11,878.8 "," 12,765.6 "," 13,758 "," 14,791.6 "," 15,840.8 "," 15,779.3 "," 16,665 "," 17,866.7 "," 19,036.6 "," 19,853.9 ",
         Finance & Insurance , 161.2 , 193.2 , 217.8 , 236.5 , 256.4 , 281.8 , 327.3 , 356.1 , 438.9 , 547.1 , 617.9 , 731 , 881.4 ," 1,043.1 "," 1,184.7 "," 1,421.3 "," 1,572.6 "," 1,595.9 "," 1,855.8 "," 2,046.2 "," 2,675.1 "," 3,565.3 "," 3,541.5 "," 3,883.3 "," 4,505.3 "," 5,179.1 "," 5,153 "," 6,252.9 "," 6,445.9 "," 7,575.1 "," 9,194.9 "," 9,745.3 "," 11,442 "," 13,564.7 "," 14,576.7 "," 14,263 "," 16,483.3 "," 19,004.2 "," 15,159.7 "," 15,210.9 "," 14,936.6 "," 16,476.1 "," 15,771.5 "," 18,380 "," 19,529.7 "," 20,671.2 "," 23,536.5 "," 27,677 "," 28,591.7 "," 28,849.7 "," 32,530.2 "," 34,975.4 "," 37,117.1 "," 43,668.8 "," 47,672 "," 49,874.5 "," 50,435.5 "," 53,766.9 "," 57,636.9 "," 59,987.1 ",
         Business Services ," 1,443.9 "," 1,564.4 "," 1,870.5 "," 2,082.7 "," 2,304.6 "," 2,658.4 "," 2,591.5 "," 2,989.2 "," 3,285.6 "," 3,813.5 "," 4,423.6 "," 5,215.4 "," 5,632.3 "," 6,060.6 "," 6,095.1 "," 6,091.4 "," 5,959.2 "," 6,064.4 "," 5,961.2 "," 6,325.8 "," 6,644.4 "," 6,932.3 "," 8,586.3 "," 8,663.2 "," 8,686.6 "," 9,284 "," 9,090.6 "," 9,942.5 "," 11,532.1 "," 12,897.2 "," 13,680.5 "," 14,658.8 "," 16,111.2 "," 17,010.9 "," 18,824.2 "," 19,544.4 "," 21,210.5 "," 23,204.9 "," 23,939 "," 24,106.1 "," 25,193.4 "," 25,067.9 "," 26,530.1 "," 27,146.7 "," 29,195.3 "," 31,857.6 "," 33,896.7 "," 38,923.1 "," 42,443.1 "," 44,150.6 "," 48,001.4 "," 51,529.7 "," 53,868 "," 56,803.2 "," 58,291.5 "," 63,122.4 "," 65,739.5 "," 66,825 "," 68,429.4 "," 69,402.1 ",
         Other Services Industries ," 1,771.8 "," 1,851.6 "," 1,942.8 "," 2,090.2 "," 2,159.7 "," 2,287.8 "," 2,471.3 "," 2,613.4 "," 2,836.2 "," 3,012.7 "," 3,323.6 "," 3,578.6 "," 3,851.6 "," 4,115.9 "," 4,369.8 "," 4,766.8 "," 4,946.4 "," 5,066.7 "," 5,454.7 "," 5,715.9 "," 6,027.1 "," 6,320.9 "," 6,891.9 "," 7,433.9 "," 7,849.8 "," 8,200.5 "," 8,687.4 "," 9,371.9 "," 9,796.5 "," 10,568 "," 11,437.9 "," 12,210 "," 12,966.5 "," 13,958.5 "," 15,330.5 "," 16,391.6 "," 17,893.3 "," 19,383.5 "," 20,060.8 "," 21,079.2 "," 23,061.8 "," 24,864.7 "," 26,200.2 "," 26,557.3 "," 27,546.7 "," 28,652.4 "," 30,240.6 "," 31,127.2 "," 32,068.6 "," 33,913 "," 38,482.7 "," 40,333.3 "," 41,564.3 "," 42,370.1 "," 43,772.9 "," 44,963 "," 46,636.4 "," 48,057.5 "," 49,127.4 "," 50,387.8 ",
     Ownership Of Dwellings , 410.7 , 450.6 , 488.5 , 513.9 , 529.8 , 572.7 , 632.1 , 685.1 , 794.2 , 907.5 ," 1,049.1 "," 1,108.9 "," 1,254.4 "," 1,308.9 "," 1,402.8 "," 1,463.2 "," 1,546.4 "," 1,644.7 "," 1,703.1 "," 1,840.4 "," 1,937.9 "," 2,537.2 "," 2,428.7 "," 3,481.4 "," 4,773.1 "," 5,503.6 "," 6,233.1 "," 6,848.9 "," 7,291.6 "," 7,831 "," 7,861.9 "," 8,018.9 "," 8,103.6 "," 8,419.9 "," 8,798.1 "," 9,109.7 "," 9,401.6 "," 9,842 "," 10,773.3 "," 11,694.5 "," 12,560.2 "," 12,957.2 "," 13,610 "," 13,735.1 "," 13,957.2 "," 14,220.3 "," 14,496.3 "," 14,582.3 "," 14,697.3 "," 14,897.7 "," 14,937.2 "," 15,418 "," 16,109.9 "," 16,662.7 "," 17,304.7 "," 18,100.1 "," 18,944.8 "," 19,805.9 "," 20,754.5 "," 21,647 ",
     Gross Value Added At Basic Prices ," 7,312.4 "," 7,938.5 "," 8,547.3 "," 9,446.6 "," 9,120 "," 9,768.9 "," 10,750 "," 12,175 "," 13,905.3 "," 15,811.4 "," 17,980.5 "," 20,311.6 "," 22,998.7 "," 25,454.9 "," 27,164.2 "," 28,290.1 "," 30,433.6 "," 32,504.2 "," 35,046.1 "," 38,346.5 "," 42,221.3 "," 46,854.8 "," 50,182.4 "," 54,496.5 "," 59,368 "," 58,986.1 "," 59,788 "," 66,180.3 "," 73,642.3 "," 80,858 "," 88,908.2 "," 95,155 "," 101,367.2 "," 112,903 "," 125,734.2 "," 134,940.4 "," 145,304.8 "," 157,493.6 "," 154,654 "," 163,308 "," 178,009.2 "," 176,514.6 "," 183,713.3 "," 191,969 "," 210,687 "," 226,460.4 "," 246,965.1 "," 268,184.3 "," 275,967.1 "," 276,108.9 "," 317,568.6 "," 339,270.3 "," 354,679.2 "," 373,768.8 "," 389,376.9 "," 399,187.4 "," 409,788.7 "," 427,180.2 "," 443,463.8 "," 446,666.3 ",
     Add: Taxes On Products ," 1,220 "," 1,241 "," 1,308 "," 1,318.5 "," 1,375.9 "," 1,675.1 "," 1,884.6 "," 1,884.6 "," 1,895.9 "," 2,203.6 "," 2,600.2 "," 2,675.9 "," 3,077.8 "," 3,356.2 "," 3,137.1 "," 3,110.9 "," 3,241.3 "," 3,506.7 "," 3,739.7 "," 4,228 "," 4,664.5 "," 4,977.4 "," 5,331 "," 5,725.1 "," 6,009.7 "," 6,004.1 "," 6,059.2 "," 6,888.7 "," 7,645.5 "," 9,012.3 "," 9,675.2 "," 9,650.3 "," 10,529.1 "," 11,899.3 "," 12,692.3 "," 13,392 "," 14,004.5 "," 15,025.1 "," 13,798.3 "," 14,918.7 "," 16,354.5 "," 15,663.7 "," 15,871.7 "," 16,713 "," 18,557.6 "," 19,472 "," 21,020.5 "," 24,989.7 "," 21,175.1 "," 21,469.9 "," 22,562.3 "," 22,064.8 "," 22,755.8 "," 21,818.8 "," 21,828.8 "," 24,256.7 "," 27,389.7 "," 28,973.1 "," 28,304.4 "," 28,568.8 ",



Disaggregated chain-linked data generally do not add up to the total.

GDP IN CHAINED (2015) DOLLARS 
    GOODS PRODUCING INDUSTRIES 
"        OTHER GOODS INDUSTRIES - OTHER GOODS INDUSTRIES COMPRISE AGRICULTURE, FISHING AND QUARRYING."
SOURCE: SINGAPORE DEPARTMENT OF STATISTICS




Data last updated: 17/02/2020

Generated by: SingStat Table Builder 
Date generated: 30/10/2020
Contact: info@singstat.gov.sg 
