 Subject: Energy and Utilities 
" Topic : Electricity Generation, Consumption and Tariffs "
" Title  : M890841 - Electricity Generation And Consumption, Annual "
, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Gigawatt Hours
         Other Commerce And Service-related , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ," 3,612.7 "," 3,831.8 "," 4,077.2 "," 4,275.7 "," 4,248.8 "," 4,242.7 "," 4,345.4 "," 4,439.6 "," 4,552.8 "," 4,658.5 "," 4,710.3 "," 4,782.6 "," 4,743.9 "," 4,860.1 ", na ,
     Transport-related , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ," 1,200 "," 1,245.4 "," 1,300.2 "," 1,399.8 "," 1,607.8 "," 2,098.7 "," 2,224.2 "," 2,328.6 "," 2,369.1 "," 2,441 "," 2,444.8 "," 2,639.4 "," 2,750.8 "," 2,943.6 ", na ,
     Households , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na ," 6,092.5 "," 6,109.1 "," 6,163.7 "," 6,094 "," 6,430.8 "," 6,636 "," 6,482.7 "," 6,629.5 "," 6,754.9 "," 6,924.4 "," 7,220.9 "," 7,589.4 "," 7,295.8 "," 7,221.4 ", na ,
     Others , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , na , 612.1 , 546.2 , 501.5 , 457.6 , 413.9 , 384.8 , 346.5 , 304 , 263.4 , 237.7 , 279.1 , 280.1 , 276.5 , 270.7 , na ,



Data on industries are classified according to the Singapore Standard Industrial Classification 2015.

"ELECTRICITY GENERATION - SOURCE: SP POWERASSETS LTD BEFORE 2003, ENERGY MARKET AUTHORITY WEF 2003.  DATA REFLECT THE GROSS GENERATION IN THE SYSTEM.  FROM JAN 2016, DATA HAVE INCORPORATED OUTPUT FROM SOLAR GENERATION."
"ELECTRICITY CONSUMPTION - REFERS TO THE TOTAL ELECTRICITY CONSUMPTION BY END USERS, INCLUDING (EMBEDDED) CONSUMPTION BY AUTOPRODUCERS.  FROM JAN 2016, DATA HAVE INCORPORATED CONSUMPTION OF OUTPUT FROM SOLAR GENERATION."
SOURCE: ENERGY MARKET AUTHORITY




Data last updated: 11/02/2020

Generated by: SingStat Table Builder 
Date generated: 30/10/2020
Contact: info@singstat.gov.sg 
