year,sex,age,edu_1,employed
2015,males,55-59,post-sec,14100
2015,males,60-64,post-sec,10500
2015,males,65-69,post-sec,4200
2015,males,70_and_over,post-sec,2400
2015,males,15-19,dip_and_professional_qual,1900
2015,males,20-24,dip_and_professional_qual,37500
2015,males,25-29,dip_and_professional_qual,27800
2015,males,30-34,dip_and_professional_qual,28400
2015,males,35-39,dip_and_professional_qual,29700
2015,males,40-44,dip_and_professional_qual,27200
2015,males,45-49,dip_and_professional_qual,23700
2015,males,50-54,dip_and_professional_qual,19100
2015,males,55-59,dip_and_professional_qual,13700
2015,males,60-64,dip_and_professional_qual,8000
2015,males,65-69,dip_and_professional_qual,4100
2015,males,70_and_over,dip_and_professional_qual,900
2015,males,15-19,degree,-
2015,males,20-24,degree,3300
2015,males,25-29,degree,48100
2015,males,30-34,degree,65300
2015,males,35-39,degree,69300
2015,males,40-44,degree,66000
2015,males,45-49,degree,47300
2015,males,50-54,degree,34600
2015,males,55-59,degree,19000
2015,males,60-64,degree,10200
2015,males,65-69,degree,3700
2015,males,70_and_over,degree,1900
2015,females,15-19,primary_and_below,300
2015,females,20-24,primary_and_below,600
2015,females,25-29,primary_and_below,900
2015,females,30-34,primary_and_below,1400
2015,females,35-39,primary_and_below,3400
2015,females,40-44,primary_and_below,6600
2015,females,45-49,primary_and_below,9900
2015,females,50-54,primary_and_below,18600
2015,females,55-59,primary_and_below,22700
2015,females,60-64,primary_and_below,17900
2015,females,65-69,primary_and_below,14600
2015,females,70_and_over,primary_and_below,10000
2015,females,15-19,lower_secondary,400
2015,females,20-24,lower_secondary,500
2015,females,25-29,lower_secondary,1400
2015,females,30-34,lower_secondary,3100
2015,females,35-39,lower_secondary,4500
2015,females,40-44,lower_secondary,6300
2015,females,45-49,lower_secondary,10100
2015,females,50-54,lower_secondary,12000
2015,females,55-59,lower_secondary,8700
2015,females,60-64,lower_secondary,8000
2015,females,65-69,lower_secondary,3300
2015,females,70_and_over,lower_secondary,1100
2015,females,15-19,secondary,6300
2015,females,20-24,secondary,6900
2015,females,25-29,secondary,7500
2015,females,30-34,secondary,11300
2015,females,35-39,secondary,17300
2015,females,40-44,secondary,23500
2015,females,45-49,secondary,28800
2015,females,50-54,secondary,35300
2015,females,55-59,secondary,30200
2015,females,60-64,secondary,18400
2015,females,65-69,secondary,6500
2015,females,70_and_over,secondary,1400
2015,females,15-19,post-sec,5200
2015,females,20-24,post-sec,14000
2015,females,25-29,post-sec,7600
2015,females,30-34,post-sec,7400
2015,females,35-39,post-sec,9400
2015,females,40-44,post-sec,12800
2015,females,45-49,post-sec,13900
2015,females,50-54,post-sec,11500
2015,females,55-59,post-sec,9400
2015,females,60-64,post-sec,5600
2015,females,65-69,post-sec,2200
2015,females,70_and_over,post-sec,700
2015,females,15-19,dip_and_professional_qual,1800
2015,females,20-24,dip_and_professional_qual,28000
2015,females,25-29,dip_and_professional_qual,26700
2015,females,30-34,dip_and_professional_qual,27900
2015,females,35-39,dip_and_professional_qual,29600
2015,females,40-44,dip_and_professional_qual,28200
2015,females,45-49,dip_and_professional_qual,20300
2015,females,50-54,dip_and_professional_qual,14300
2015,females,55-59,dip_and_professional_qual,9100
2015,females,60-64,dip_and_professional_qual,3700
2015,females,65-69,dip_and_professional_qual,1200
2015,females,70_and_over,dip_and_professional_qual,800
2015,females,15-19,degree,-
2015,females,20-24,degree,22800
2015,females,25-29,degree,62000
2015,females,30-34,degree,65300
2015,females,35-39,degree,63100
2015,females,40-44,degree,47400
2015,females,45-49,degree,30700
2015,females,50-54,degree,17900
2015,females,55-59,degree,9800
2015,females,60-64,degree,4400
2015,females,65-69,degree,1500
2015,females,70_and_over,degree,600
2016,males,15-19,primary_and_below,300
2016,males,20-24,primary_and_below,500
2016,males,25-29,primary_and_below,1100
2016,males,30-34,primary_and_below,1400
2016,males,35-39,primary_and_below,2600
2016,males,40-44,primary_and_below,4800
2016,males,45-49,primary_and_below,10700
2016,males,50-54,primary_and_below,23500
2016,males,55-59,primary_and_below,26600
2016,males,60-64,primary_and_below,26000
2016,males,65-69,primary_and_below,18100
2016,males,70_and_over,primary_and_below,12100
2016,males,15-19,lower_secondary,800
2016,males,20-24,lower_secondary,2000
2016,males,25-29,lower_secondary,1800
2016,males,30-34,lower_secondary,2200
2016,males,35-39,lower_secondary,3700
2016,males,40-44,lower_secondary,5500
2016,males,45-49,lower_secondary,9600
2016,males,50-54,lower_secondary,20100
2016,males,55-59,lower_secondary,18400
2016,males,60-64,lower_secondary,17700
2016,males,65-69,lower_secondary,10600
2016,males,70_and_over,lower_secondary,3500
2016,males,15-19,secondary,6200
2016,males,20-24,secondary,8800
2016,males,25-29,secondary,8700
2016,males,30-34,secondary,10400
2016,males,35-39,secondary,13000
2016,males,40-44,secondary,17600
2016,males,45-49,secondary,23500
2016,males,50-54,secondary,30400
2016,males,55-59,secondary,32600
2016,males,60-64,secondary,23000
2016,males,65-69,secondary,11400
2016,males,70_and_over,secondary,4200
2016,males,15-19,post-sec,12800
2016,males,20-24,post-sec,24600
2016,males,25-29,post-sec,15700
2016,males,30-34,post-sec,13700
2016,males,35-39,post-sec,12000
2016,males,40-44,post-sec,14600
2016,males,45-49,post-sec,15700
2016,males,50-54,post-sec,15500
2016,males,55-59,post-sec,15200
2016,males,60-64,post-sec,10600
2016,males,65-69,post-sec,4100
2016,males,70_and_over,post-sec,2200
2016,males,15-19,dip_and_professional_qual,2100
2016,males,20-24,dip_and_professional_qual,40000
2016,males,25-29,dip_and_professional_qual,31100
2016,males,30-34,dip_and_professional_qual,26200
2016,males,35-39,dip_and_professional_qual,31000
2016,males,40-44,dip_and_professional_qual,28500
2016,males,45-49,dip_and_professional_qual,23200
2016,males,50-54,dip_and_professional_qual,19800
2016,males,55-59,dip_and_professional_qual,14100
2016,males,60-64,dip_and_professional_qual,8600
2016,males,65-69,dip_and_professional_qual,3600
2016,males,70_and_over,dip_and_professional_qual,1800
2016,males,15-19,degree,-
2016,males,20-24,degree,2900
2016,males,25-29,degree,51600
2016,males,30-34,degree,65500
2016,males,35-39,degree,69100
2016,males,40-44,degree,64800
2016,males,45-49,degree,52300
2016,males,50-54,degree,33700
2016,males,55-59,degree,19800
2016,males,60-64,degree,11200
2016,males,65-69,degree,4800
2016,males,70_and_over,degree,2700
2016,females,15-19,primary_and_below,300
2016,females,20-24,primary_and_below,400
2016,females,25-29,primary_and_below,900
2016,females,30-34,primary_and_below,1400
2016,females,35-39,primary_and_below,2800
2016,females,40-44,primary_and_below,6100
2016,females,45-49,primary_and_below,11000
2016,females,50-54,primary_and_below,17900
2016,females,55-59,primary_and_below,23000
2016,females,60-64,primary_and_below,19500
2016,females,65-69,primary_and_below,14300
2016,females,70_and_over,primary_and_below,9700
2016,females,15-19,lower_secondary,700
2016,females,20-24,lower_secondary,1000
2016,females,25-29,lower_secondary,2000
2016,females,30-34,lower_secondary,2500
2016,females,35-39,lower_secondary,4800
2016,females,40-44,lower_secondary,7200
2016,females,45-49,lower_secondary,9100
2016,females,50-54,lower_secondary,12800
2016,females,55-59,lower_secondary,10500
2016,females,60-64,lower_secondary,9100
2016,females,65-69,lower_secondary,3800
2016,females,70_and_over,lower_secondary,1900
2016,females,15-19,secondary,5200
2016,females,20-24,secondary,6600
2016,females,25-29,secondary,7800
2016,females,30-34,secondary,10300
2016,females,35-39,secondary,13100
2016,females,40-44,secondary,22700
2016,females,45-49,secondary,26700
2016,females,50-54,secondary,32300
2016,females,55-59,secondary,28400
2016,females,60-64,secondary,18600
2016,females,65-69,secondary,7200
2016,females,70_and_over,secondary,1800
2016,females,15-19,post-sec,4600
2016,females,20-24,post-sec,11600
2016,females,25-29,post-sec,7400
2016,females,30-34,post-sec,6600
2016,females,35-39,post-sec,7000
2016,females,40-44,post-sec,10800
2016,females,45-49,post-sec,13100
2016,females,50-54,post-sec,11500
2016,females,55-59,post-sec,10900
2016,females,60-64,post-sec,6000
2016,females,65-69,post-sec,2600
2016,females,70_and_over,post-sec,1300
2016,females,15-19,dip_and_professional_qual,1800
2016,females,20-24,dip_and_professional_qual,28000
2016,females,25-29,dip_and_professional_qual,26500
2016,females,30-34,dip_and_professional_qual,26600
2016,females,35-39,dip_and_professional_qual,28800
2016,females,40-44,dip_and_professional_qual,27700
2016,females,45-49,dip_and_professional_qual,21200
2016,females,50-54,dip_and_professional_qual,14600
2016,females,55-59,dip_and_professional_qual,8900
2016,females,60-64,dip_and_professional_qual,4600
2016,females,65-69,dip_and_professional_qual,1500
2016,females,70_and_over,dip_and_professional_qual,400
2016,females,15-19,degree,100
2016,females,20-24,degree,20900
2016,females,25-29,degree,71800
2016,females,30-34,degree,70200
2016,females,35-39,degree,62300
2016,females,40-44,degree,49900
2016,females,45-49,degree,34800
2016,females,50-54,degree,21700
2016,females,55-59,degree,10400
2016,females,60-64,degree,4000
2016,females,65-69,degree,2400
2016,females,70_and_over,degree,900
2017,males,15-19,primary_and_below,300
2017,males,20-24,primary_and_below,700
2017,males,25-29,primary_and_below,900
2017,males,30-34,primary_and_below,1200
2017,males,35-39,primary_and_below,1300
2017,males,40-44,primary_and_below,5100
2017,males,45-49,primary_and_below,9000
2017,males,50-54,primary_and_below,22200
2017,males,55-59,primary_and_below,27500
2017,males,60-64,primary_and_below,25000
2017,males,65-69,primary_and_below,17900
2017,males,70_and_over,primary_and_below,16900
2017,males,15-19,lower_secondary,800
2017,males,20-24,lower_secondary,1200
2017,males,25-29,lower_secondary,1600
2017,males,30-34,lower_secondary,2100
2017,males,35-39,lower_secondary,4400
2017,males,40-44,lower_secondary,6300
2017,males,45-49,lower_secondary,8600
2017,males,50-54,lower_secondary,16200
2017,males,55-59,lower_secondary,17600
2017,males,60-64,lower_secondary,17100
2017,males,65-69,lower_secondary,10200
2017,males,70_and_over,lower_secondary,5200
2017,males,15-19,secondary,5400
2017,males,20-24,secondary,8300
2017,males,25-29,secondary,7500
2017,males,30-34,secondary,9800
2017,males,35-39,secondary,14700
2017,males,40-44,secondary,17200
2017,males,45-49,secondary,24500
2017,males,50-54,secondary,28100
2017,males,55-59,secondary,27900
2017,males,60-64,secondary,22100
2017,males,65-69,secondary,10400
2017,males,70_and_over,secondary,6500
2017,males,15-19,post-sec,14100
2017,males,20-24,post-sec,24800
2017,males,25-29,post-sec,14600
2017,males,30-34,post-sec,12900
2017,males,35-39,post-sec,10900
2017,males,40-44,post-sec,13800
2017,males,45-49,post-sec,15800
2017,males,50-54,post-sec,14400
2017,males,55-59,post-sec,11600
2017,males,60-64,post-sec,11900
2017,males,65-69,post-sec,4900
2017,males,70_and_over,post-sec,2900
2017,males,15-19,dip_and_professional_qual,1700
2017,males,20-24,dip_and_professional_qual,35100
2017,males,25-29,dip_and_professional_qual,29600
2017,males,30-34,dip_and_professional_qual,25900
2017,males,35-39,dip_and_professional_qual,32200
2017,males,40-44,dip_and_professional_qual,29100
2017,males,45-49,dip_and_professional_qual,24500
2017,males,50-54,dip_and_professional_qual,19200
2017,males,55-59,dip_and_professional_qual,12700
2017,males,60-64,dip_and_professional_qual,8600
2017,males,65-69,dip_and_professional_qual,3200
2017,males,70_and_over,dip_and_professional_qual,1300
2017,males,15-19,degree,-
2017,males,20-24,degree,3400
2017,males,25-29,degree,53100
2017,males,30-34,degree,65100
2017,males,35-39,degree,73100
2017,males,40-44,degree,74700
2017,males,45-49,degree,59600
2017,males,50-54,degree,39100
2017,males,55-59,degree,23300
2017,males,60-64,degree,11800
2017,males,65-69,degree,6300
2017,males,70_and_over,degree,2500
2017,females,15-19,primary_and_below,100
2017,females,20-24,primary_and_below,400
2017,females,25-29,primary_and_below,700
2017,females,30-34,primary_and_below,1500
2017,females,35-39,primary_and_below,3000
2017,females,40-44,primary_and_below,5400
2017,females,45-49,primary_and_below,9200
2017,females,50-54,primary_and_below,16000
2017,females,55-59,primary_and_below,18200
2017,females,60-64,primary_and_below,20600
2017,females,65-69,primary_and_below,15600
2017,females,70_and_over,primary_and_below,11300
2017,females,15-19,lower_secondary,300
2017,females,20-24,lower_secondary,1000
2017,females,25-29,lower_secondary,1500
2017,females,30-34,lower_secondary,2400
2017,females,35-39,lower_secondary,4600
2017,females,40-44,lower_secondary,7300
2017,females,45-49,lower_secondary,8300
2017,females,50-54,lower_secondary,11900
2017,females,55-59,lower_secondary,8900
2017,females,60-64,lower_secondary,9700
2017,females,65-69,lower_secondary,5800
2017,females,70_and_over,lower_secondary,1800
2017,females,15-19,secondary,4600
2017,females,20-24,secondary,6100
2017,females,25-29,secondary,6700
2017,females,30-34,secondary,9700
2017,females,35-39,secondary,14600
2017,females,40-44,secondary,21000
2017,females,45-49,secondary,26400
2017,females,50-54,secondary,30900
2017,females,55-59,secondary,27100
2017,females,60-64,secondary,19300
2017,females,65-69,secondary,6800
2017,females,70_and_over,secondary,2300
2017,females,15-19,post-sec,3900
2017,females,20-24,post-sec,9900
2017,females,25-29,post-sec,6600
2017,females,30-34,post-sec,7400
2017,females,35-39,post-sec,8200
2017,females,40-44,post-sec,9700
2017,females,45-49,post-sec,12900
2017,females,50-54,post-sec,11000
2017,females,55-59,post-sec,10400
2017,females,60-64,post-sec,6500
2017,females,65-69,post-sec,3500
2017,females,70_and_over,post-sec,1400
2017,females,15-19,dip_and_professional_qual,1400
2017,females,20-24,dip_and_professional_qual,24000
2017,females,25-29,dip_and_professional_qual,26800
2017,females,30-34,dip_and_professional_qual,25400
2017,females,35-39,dip_and_professional_qual,28500
2017,females,40-44,dip_and_professional_qual,27900
2017,females,45-49,dip_and_professional_qual,24300
2017,females,50-54,dip_and_professional_qual,14200
2017,females,55-59,dip_and_professional_qual,10200
2017,females,60-64,dip_and_professional_qual,4500
2017,females,65-69,dip_and_professional_qual,1400
2017,females,70_and_over,dip_and_professional_qual,400
2017,females,15-19,degree,-
2017,females,20-24,degree,20400
2017,females,25-29,degree,67600
2017,females,30-34,degree,72800
2017,females,35-39,degree,70400
2017,females,40-44,degree,53900
2017,females,45-49,degree,41100
2017,females,50-54,degree,21100
2017,females,55-59,degree,10200
2017,females,60-64,degree,4200
2017,females,65-69,degree,2200
2017,females,70_and_over,degree,600
2018,males,15-19,primary_and_below,400
2018,males,20-24,primary_and_below,900
2018,males,25-29,primary_and_below,900
2018,males,30-34,primary_and_below,600
2018,males,35-39,primary_and_below,2000
2018,males,40-44,primary_and_below,4100
2018,males,45-49,primary_and_below,7300
2018,males,50-54,primary_and_below,19300
2018,males,55-59,primary_and_below,23500
2018,males,60-64,primary_and_below,25000
2018,males,65-69,primary_and_below,16500
2018,males,70_and_over,primary_and_below,14300
2018,males,15-19,lower_secondary,600
2018,males,20-24,lower_secondary,1000
2018,males,25-29,lower_secondary,1900
2018,males,30-34,lower_secondary,2000
2018,males,35-39,lower_secondary,3300
2018,males,40-44,lower_secondary,6800
2018,males,45-49,lower_secondary,7000
2018,males,50-54,lower_secondary,13500
2018,males,55-59,lower_secondary,16600
2018,males,60-64,lower_secondary,15700
2018,males,65-69,lower_secondary,10200
2018,males,70_and_over,lower_secondary,4700
2018,males,15-19,secondary,7200
2018,males,20-24,secondary,6300
2018,males,25-29,secondary,9100
2018,males,30-34,secondary,9600
2018,males,35-39,secondary,13600
2018,males,40-44,secondary,16100
2018,males,45-49,secondary,23400
2018,males,50-54,secondary,26800
2018,males,55-59,secondary,32100
2018,males,60-64,secondary,22600
2018,males,65-69,secondary,12200
2018,males,70_and_over,secondary,6100
2018,males,15-19,post-sec,13100
2018,males,20-24,post-sec,23900
2018,males,25-29,post-sec,13000
2018,males,30-34,post-sec,11900
2018,males,35-39,post-sec,13400
2018,males,40-44,post-sec,12800
2018,males,45-49,post-sec,15900
2018,males,50-54,post-sec,16600
2018,males,55-59,post-sec,15100
2018,males,60-64,post-sec,11800
2018,males,65-69,post-sec,5800
2018,males,70_and_over,post-sec,3400
2018,males,15-19,dip_and_professional_qual,1900
2018,males,20-24,dip_and_professional_qual,34900
2018,males,25-29,dip_and_professional_qual,30800
2018,males,30-34,dip_and_professional_qual,27100
2018,males,35-39,dip_and_professional_qual,29300
2018,males,40-44,dip_and_professional_qual,31100
2018,males,45-49,dip_and_professional_qual,25100
2018,males,50-54,dip_and_professional_qual,20000
2018,males,55-59,dip_and_professional_qual,14800
2018,males,60-64,dip_and_professional_qual,9200
2018,males,65-69,dip_and_professional_qual,4900
2018,males,70_and_over,dip_and_professional_qual,1400
2018,males,15-19,degree,-
2018,males,20-24,degree,3900
2018,males,25-29,degree,54700
2018,males,30-34,degree,68000
2018,males,35-39,degree,72900
2018,males,40-44,degree,72900
2018,males,45-49,degree,60800
2018,males,50-54,degree,44200
2018,males,55-59,degree,26100
2018,males,60-64,degree,13300
2018,males,65-69,degree,6600
2018,males,70_and_over,degree,3100
2018,females,15-19,primary_and_below,100
2018,females,20-24,primary_and_below,100
2018,females,25-29,primary_and_below,1200
2018,females,30-34,primary_and_below,1800
2018,females,35-39,primary_and_below,2400
2018,females,40-44,primary_and_below,5900
2018,females,45-49,primary_and_below,9600
2018,females,50-54,primary_and_below,13900
2018,females,55-59,primary_and_below,16700
2018,females,60-64,primary_and_below,19300
2018,females,65-69,primary_and_below,13100
2018,females,70_and_over,primary_and_below,13200
2018,females,15-19,lower_secondary,300
2018,females,20-24,lower_secondary,200
2018,females,25-29,lower_secondary,1300
2018,females,30-34,lower_secondary,2400
2018,females,35-39,lower_secondary,3800
2018,females,40-44,lower_secondary,5100
2018,females,45-49,lower_secondary,7700
2018,females,50-54,lower_secondary,12500
2018,females,55-59,lower_secondary,8900
2018,females,60-64,lower_secondary,8200
2018,females,65-69,lower_secondary,4800
2018,females,70_and_over,lower_secondary,2000
2018,females,15-19,secondary,5500
2018,females,20-24,secondary,4300
2018,females,25-29,secondary,7500
2018,females,30-34,secondary,8500
2018,females,35-39,secondary,12500
2018,females,40-44,secondary,17000
2018,females,45-49,secondary,26800
2018,females,50-54,secondary,32900
2018,females,55-59,secondary,28500
2018,females,60-64,secondary,21800
2018,females,65-69,secondary,9100
2018,females,70_and_over,secondary,2500
2018,females,15-19,post-sec,4300
2018,females,20-24,post-sec,12900
2018,females,25-29,post-sec,8100
2018,females,30-34,post-sec,7800
2018,females,35-39,post-sec,7500
2018,females,40-44,post-sec,8900
2018,females,45-49,post-sec,12400
2018,females,50-54,post-sec,11800
2018,females,55-59,post-sec,10000
2018,females,60-64,post-sec,6800
2018,females,65-69,post-sec,2300
2018,females,70_and_over,post-sec,2100
2018,females,15-19,dip_and_professional_qual,1900
2018,females,20-24,dip_and_professional_qual,26600
2018,females,25-29,dip_and_professional_qual,25100
2018,females,30-34,dip_and_professional_qual,24900
2018,females,35-39,dip_and_professional_qual,31300
2018,females,40-44,dip_and_professional_qual,29400
2018,females,45-49,dip_and_professional_qual,23600
2018,females,50-54,dip_and_professional_qual,15900
2018,females,55-59,dip_and_professional_qual,11300
2018,females,60-64,dip_and_professional_qual,4900
2018,females,65-69,dip_and_professional_qual,2300
2018,females,70_and_over,dip_and_professional_qual,400
2018,females,15-19,degree,-
2018,females,20-24,degree,20900
2018,females,25-29,degree,69900
2018,females,30-34,degree,69400
2018,females,35-39,degree,71100
2018,females,40-44,degree,61000
2018,females,45-49,degree,42200
2018,females,50-54,degree,23600
2018,females,55-59,degree,13700
2018,females,60-64,degree,7100
2018,females,65-69,degree,2800
2018,females,70_and_over,degree,900
2019,males,15-19,primary_and_below,300
2019,males,20-24,primary_and_below,300
2019,males,25-29,primary_and_below,1000
2019,males,30-34,primary_and_below,1400
2019,males,35-39,primary_and_below,1900
2019,males,40-44,primary_and_below,4000
2019,males,45-49,primary_and_below,8300
2019,males,50-54,primary_and_below,16700
2019,males,55-59,primary_and_below,24700
2019,males,60-64,primary_and_below,24800
2019,males,65-69,primary_and_below,15500
2019,males,70_and_over,primary_and_below,14800
2019,males,15-19,lower_secondary,800
2019,males,20-24,lower_secondary,800
2019,males,25-29,lower_secondary,1800
2019,males,30-34,lower_secondary,2200
2019,males,35-39,lower_secondary,3200
2019,males,40-44,lower_secondary,3500
2019,males,45-49,lower_secondary,6400
2019,males,50-54,lower_secondary,11100
2019,males,55-59,lower_secondary,16800
2019,males,60-64,lower_secondary,15100
2019,males,65-69,lower_secondary,11700
2019,males,70_and_over,lower_secondary,5600
2019,males,15-19,secondary,5900
2019,males,20-24,secondary,7200
2019,males,25-29,secondary,8400
2019,males,30-34,secondary,9700
2019,males,35-39,secondary,13800
2019,males,40-44,secondary,14900
2019,males,45-49,secondary,20900
2019,males,50-54,secondary,25000
2019,males,55-59,secondary,29900
2019,males,60-64,secondary,24800
2019,males,65-69,secondary,13000
2019,males,70_and_over,secondary,7300
2019,males,15-19,post-sec,12100
2019,males,20-24,post-sec,22500
2019,males,25-29,post-sec,13100
2019,males,30-34,post-sec,12600
2019,males,35-39,post-sec,11300
2019,males,40-44,post-sec,11800
2019,males,45-49,post-sec,17600
2019,males,50-54,post-sec,16200
2019,males,55-59,post-sec,13600
2019,males,60-64,post-sec,11500
2019,males,65-69,post-sec,7800
2019,males,70_and_over,post-sec,3300
2019,males,15-19,dip_and_professional_qual,1700
2019,males,20-24,dip_and_professional_qual,34600
2019,males,25-29,dip_and_professional_qual,32300
2019,males,30-34,dip_and_professional_qual,27500
2019,males,35-39,dip_and_professional_qual,30100
2019,males,40-44,dip_and_professional_qual,29600
2019,males,45-49,dip_and_professional_qual,27800
2019,males,50-54,dip_and_professional_qual,22000
2019,males,55-59,dip_and_professional_qual,18300
2019,males,60-64,dip_and_professional_qual,10400
2019,males,65-69,dip_and_professional_qual,5900
2019,males,70_and_over,dip_and_professional_qual,2400
2019,males,15-19,degree,-
2019,males,20-24,degree,3500
2019,males,25-29,degree,56900
2019,males,30-34,degree,69600
2019,males,35-39,degree,70900
2019,males,40-44,degree,70700
2019,males,45-49,degree,64400
2019,males,50-54,degree,46400
2019,males,55-59,degree,25600
2019,males,60-64,degree,14500
2019,males,65-69,degree,6900
2019,males,70_and_over,degree,3700
2019,females,15-19,primary_and_below,200
2019,females,20-24,primary_and_below,500
2019,females,25-29,primary_and_below,600
2019,females,30-34,primary_and_below,1300
2019,females,35-39,primary_and_below,2500
2019,females,40-44,primary_and_below,5000
2019,females,45-49,primary_and_below,7700
2019,females,50-54,primary_and_below,12500
2019,females,55-59,primary_and_below,17400
2019,females,60-64,primary_and_below,17300
2019,females,65-69,primary_and_below,14200
2019,females,70_and_over,primary_and_below,11700
2019,females,15-19,lower_secondary,100
2019,females,20-24,lower_secondary,600
2019,females,25-29,lower_secondary,1500
2019,females,30-34,lower_secondary,2100
2019,females,35-39,lower_secondary,3500
2019,females,40-44,lower_secondary,5900
2019,females,45-49,lower_secondary,7000
2019,females,50-54,lower_secondary,8700
2019,females,55-59,lower_secondary,11300
2019,females,60-64,lower_secondary,6200
2019,females,65-69,lower_secondary,5900
2019,females,70_and_over,lower_secondary,2400
2019,females,15-19,secondary,5800
2019,females,20-24,secondary,3900
2019,females,25-29,secondary,5700
2019,females,30-34,secondary,8400
2019,females,35-39,secondary,13200
2019,females,40-44,secondary,17200
2019,females,45-49,secondary,24000
2019,females,50-54,secondary,31000
2019,females,55-59,secondary,31500
2019,females,60-64,secondary,22100
2019,females,65-69,secondary,10000
2019,females,70_and_over,secondary,3800
2019,females,15-19,post-sec,3900
2019,females,20-24,post-sec,10900
2019,females,25-29,post-sec,7000
2019,females,30-34,post-sec,8400
2019,females,35-39,post-sec,6800
2019,females,40-44,post-sec,8900
2019,females,45-49,post-sec,13700
2019,females,50-54,post-sec,12800
2019,females,55-59,post-sec,10600
2019,females,60-64,post-sec,7600
2019,females,65-69,post-sec,3900
2019,females,70_and_over,post-sec,1700
2019,females,15-19,dip_and_professional_qual,1900
2019,females,20-24,dip_and_professional_qual,24600
2019,females,25-29,dip_and_professional_qual,24300
2019,females,30-34,dip_and_professional_qual,26300
2019,females,35-39,dip_and_professional_qual,28300
2019,females,40-44,dip_and_professional_qual,29100
2019,females,45-49,dip_and_professional_qual,28000
2019,females,50-54,dip_and_professional_qual,18400
2019,females,55-59,dip_and_professional_qual,12300
2019,females,60-64,dip_and_professional_qual,6000
2019,females,65-69,dip_and_professional_qual,3000
2019,females,70_and_over,dip_and_professional_qual,1200
2019,females,15-19,degree,-
2019,females,20-24,degree,22000
2019,females,25-29,degree,72100
2019,females,30-34,degree,76400
2019,females,35-39,degree,74200
2019,females,40-44,degree,61400
2019,females,45-49,degree,48100
2019,females,50-54,degree,26300
2019,females,55-59,degree,15900
2019,females,60-64,degree,5600
2019,females,65-69,degree,2600
2019,females,70_and_over,degree,1300
2020,males,15-19,primary_and_below,300
2020,males,20-24,primary_and_below,200
2020,males,25-29,primary_and_below,700
2020,males,30-34,primary_and_below,1100
2020,males,35-39,primary_and_below,1000
2020,males,40-44,primary_and_below,3100
2020,males,45-49,primary_and_below,6600
2020,males,50-54,primary_and_below,15100
2020,males,55-59,primary_and_below,22500
2020,males,60-64,primary_and_below,25600
2020,males,65-69,primary_and_below,16700
2020,males,70_and_over,primary_and_below,16200
2020,males,15-19,lower_secondary,600
2020,males,20-24,lower_secondary,800
2020,males,25-29,lower_secondary,1200
2020,males,30-34,lower_secondary,1300
2020,males,35-39,lower_secondary,2800
2020,males,40-44,lower_secondary,3800
2020,males,45-49,lower_secondary,7100
2020,males,50-54,lower_secondary,9000
2020,males,55-59,lower_secondary,15100
2020,males,60-64,lower_secondary,13100
2020,males,65-69,lower_secondary,11600
2020,males,70_and_over,lower_secondary,6700
2020,males,15-19,secondary,5300
2020,males,20-24,secondary,6400
2020,males,25-29,secondary,6800
2020,males,30-34,secondary,8600
2020,males,35-39,secondary,11600
2020,males,40-44,secondary,13700
2020,males,45-49,secondary,19700
2020,males,50-54,secondary,23800
2020,males,55-59,secondary,28100
2020,males,60-64,secondary,24500
2020,males,65-69,secondary,13200
2020,males,70_and_over,secondary,9400
2020,males,15-19,post-sec,10500
2020,males,20-24,post-sec,20100
2020,males,25-29,post-sec,13900
2020,males,30-34,post-sec,13900
2020,males,35-39,post-sec,12800
2020,males,40-44,post-sec,12000
2020,males,45-49,post-sec,17600
2020,males,50-54,post-sec,16800
2020,males,55-59,post-sec,15400
2020,males,60-64,post-sec,12600
2020,males,65-69,post-sec,7200
2020,males,70_and_over,post-sec,3900
2020,males,15-19,dip_and_professional_qual,1300
2020,males,20-24,dip_and_professional_qual,30300
2020,males,25-29,dip_and_professional_qual,32900
2020,males,30-34,dip_and_professional_qual,29000
2020,males,35-39,dip_and_professional_qual,30300
2020,males,40-44,dip_and_professional_qual,29400
2020,males,45-49,dip_and_professional_qual,25700
2020,males,50-54,dip_and_professional_qual,20300
2020,males,55-59,dip_and_professional_qual,17000
2020,males,60-64,dip_and_professional_qual,11800
2020,males,65-69,dip_and_professional_qual,5700
2020,males,70_and_over,dip_and_professional_qual,3200
2020,males,15-19,degree,-
2020,males,20-24,degree,2500
2020,males,25-29,degree,55400
2020,males,30-34,degree,72500
2020,males,35-39,degree,73900
2020,males,40-44,degree,74900
2020,males,45-49,degree,68900
2020,males,50-54,degree,46500
2020,males,55-59,degree,30100
2020,males,60-64,degree,13700
2020,males,65-69,degree,7400
2020,males,70_and_over,degree,5300
2020,females,15-19,primary_and_below,400
2020,females,20-24,primary_and_below,200
2020,females,25-29,primary_and_below,1000
2020,females,30-34,primary_and_below,1500
2020,females,35-39,primary_and_below,2000
2020,females,40-44,primary_and_below,2600
2020,females,45-49,primary_and_below,6400
2020,females,50-54,primary_and_below,10400
2020,females,55-59,primary_and_below,17600
2020,females,60-64,primary_and_below,19200
2020,females,65-69,primary_and_below,14300
2020,females,70_and_over,primary_and_below,15000
2020,females,15-19,lower_secondary,100
2020,females,20-24,lower_secondary,400
2020,females,25-29,lower_secondary,800
2020,females,30-34,lower_secondary,1600
